Name,Career Domain,Extracted Personality Traits,Life Patterns or Behavioral Themes,Representative Evidence,Sentiment Tone,Birthdate,Insen_1,Insen_2,Insen_3,Insen_4,Insen_5,Insen_6,Insen_7,Insen_8,Insen_9,頭 (Head),胸 (Chest),腹 (Stomach),右手 (Right Hand),左手 (Left Hand),左肩 (Left Shoulder),左足 (Left Leg),右足 (Right Leg),Tenchusatsu
Lance Mungia,Film director (American),"Creative, Visionary, Independent, Ambitious, Resilient, Controversial","Career Trajectory Marked by Shifts and Reinvention, Public and Professional Controversies, Demonstrates Persistence Despite Setbacks, Strong Creative Drive","'Lance Mungia Brings Creative Vision to KGEM'
'A Wacky, Amusing Samurai'
Public access firm accused of double billing
KGEM Executive Director Resigns 'Effective Immediately'
Multiple film projects spanning different genres and styles",Mixed,1972-04-15,壬,子,甲,辰,丙,子,癸,乙,癸,車騎,玉堂,龍高,牽牛,牽牛,天報,天南,天報,申酉
Bill Carr,Actor (Canadian),"Driven, Competitive, Resilient, High-Achieving, Adaptable, Sociable, Disciplined, Determined, Physically Active, Risk-Taking","Early Achievement Orientation, Overcoming Adversity, International Focus, Ambitious Career Progression, Physical Vulnerability and Recovery","Joined track team despite small stature, demonstrating competitiveness and drive.
Broke both ankles but returned to track, showcasing resilience and determination.
Achieved national recognition in high school track, indicative of high-achieving nature.
Consistently excelled academically and athletically, reflecting discipline and ambition.
Successfully navigated a significant car accident and resumed his life, highlighting adaptability.
Successfully worked and lived in multiple countries, showcasing adaptability and sociability.
Held various leadership positions in business and international organizations, suggesting ambition and leadership qualities.
His athletic career is a strong indicator of his physical activity and risk-taking tendencies.
His consistent pursuit of higher education and career advancement reflects a deep-seated ambition and drive.",Positive,1909-06-29,己,酉,庚,午,庚,申,辛,丁,庚,玉堂,牽牛,貫索,貫索,石門,天将,天恍,天祿,子丑
Craig Arnold,Poet (Canadian),"Adventurous, Independent, Driven, Creative, Intellectual, Risk-taking, Intense, Passionate, Sensitive","Pursuit of artistic expression and recognition, Strong preference for solitary exploration and independent work, Ambition and dedication to craft, Intense focus and commitment to projects, Tendency towards risk-taking and self-discovery, potentially bordering on recklessness, Deeply felt emotional experiences, possibly expressed through creative work","Solo hike to explore an active volcano
Numerous awards and fellowships in poetry and literature
Widely published in prestigious literary journals
Performance as a member of the band Iris
Presumed death from a fall during a solo hike suggests a potential disregard for personal safety in pursuit of exploration
The publication of 'Love, an Index' by his partner, focusing on their relationship, suggests a profound emotional depth",Mixed,1967-11-16,丁,未,辛,亥,甲,申,己,壬,庚,調舒,龍高,牽牛,車騎,司禄,天庫,天貴,天馳,午未
Sean Fine,Documentary filmmaker (American),"Driven, Persistent, Collaborative, Risk-taking, Visionary, Resilient, Adaptable, Determined, Passionate, Purpose-driven","Family legacy and influence, Early exposure shaping career path, Entrepreneurial spirit and risk-taking, Commitment to social impact filmmaking, Collaboration and partnership, Balancing personal and professional life (with challenges)","Grew up around filmmaking, 3rd generation photographer
Left National Geographic to start own production company
Made documentary about Ugandan civil war despite dangers and having a young child
Collaborated with wife on multiple award-winning films
Won two national Emmy Awards and nominated for an Academy Award
Consistently chose challenging and impactful projects
Worked in difficult and remote locations
Traveled to over 30 countries for work",Positive,1975-04-15,乙,卯,庚,辰,辛,卯,乙,乙,乙,禄存,禄存,石門,禄存,禄存,天馳,天庫,天馳,午未
Stephen Churchett,Actor & screenwriter (British),"Versatile, Prolific, Curious, Methodical, Persistent, Detail-Oriented, Inquisitive, Disciplined, Independent, Analytical","Consistent dedication to craft across multiple mediums (acting and writing), Long-term commitment to roles and projects (EastEnders), Sustained career spanning decades, Active engagement with diverse creative projects (wide range of roles and writing credits), Interest in investigative and analytical themes (letter to Special Branch, Agatha Christie adaptations), Late-life exploration of new creative avenues (potentially indicated by Derby play visit)","Extensive filmography spanning decades across diverse roles (demonstrates versatility and persistence)
Multiple writing credits for notable television series (shows prolific output and discipline)
Letter to Special Branch about the Wheeldon case (highlights inquisitiveness and analytical nature)
Recurring role in EastEnders over many years (indicates commitment and dedication)
Appearance in numerous Agatha Christie adaptations (suggests appreciation for detail and methodical approach)
Anecdotal evidence of play writing in Derby (indicates exploration of new creative avenues in later life)",Positive,1947-04-10,丁,亥,甲,辰,己,未,壬,乙,己,龍高,車騎,牽牛,貫索,司禄,天報,天堂,天南,子丑
Stuart Holden,Footballer (American),"Determined, Resilient, Competitive, Ambitious, Adaptable, Disciplined, Team-Oriented, Public-Speaking Confident","Overcoming Adversity, High Achievement Drive, Career Transition and Reinvention, International Focus, Physical and Mental Toughness","Played soccer professionally despite a significant leg injury sustained before the World Cup, showcasing resilience and determination.
Intensive rehab after injury demonstrates discipline and commitment to goals.
Success in both professional soccer and broadcasting highlights ambition and adaptability.
Playing for US National Team and competing internationally reflects an international focus and competitive spirit.
His transition from professional soccer to a successful broadcasting career demonstrates a capacity for reinvention.
His consistent performance and achievements in both fields suggest a high achievement drive.
Public speaking success as a broadcaster demonstrates confidence and team-oriented skills (working with co-hosts).",Positive,1985-08-01,乙,丑,癸,未,壬,申,己,己,庚,調舒,牽牛,石門,龍高,牽牛,天堂,天印,天貴,戌亥
Geoff Ryman,"Author (Canadian, science fiction)","Highly creative, Persistent, Introspective, Empathetic, Independent, Innovative, Prolific, Resilient, Reflective, Committed","Early manifestation of artistic talent, Exploration of diverse genres and mediums, Deep engagement with personal experiences in creative work, Dedication to long-term projects despite challenges, Significant impact on literary movements (Mundane SF), Sustained creative output despite health setbacks, Commitment to teaching and mentorship, Exploration of complex social and ethical themes","knew he was a writer 'before [he] could talk'
his first work published in his mother's newspaper column at six years of age
'253 happens on January 11th, 1995,' he writes, 'which is the day I learned my best friend was dying of Aids.'
The project was intricate and lengthy, and took up a great deal of time, but in the 2000s, when Ryman was suffering from cancer, he accidentally failed to renew the URL, which was sold on, resulting in the loss of the project. In 2023, however, Ryman was able to restore it, and it became available online again.
Much of Ryman's work is based on travels to Cambodia
His novel The King's Last Song (2006) was set both in the Angkor Wat era and the time after Pol Pot and the Khmer Rouge.
Him, an alternative history of Jesus Christ, in which Jesus is born biologically female, but identifies as male.
Ryman has written, directed and performed in several plays based on works by other writers.
The Mundane SF movement was founded in 2002 during the Clarion Workshop by Ryman and other Clarion West Workshop instructors.
In 2011 he won the Faculty Students' Teaching Award for the School of Arts, History and Culture.",Mixed (reflecting both challenges and achievements),1951-05-09,辛,卯,癸,巳,己,酉,乙,丙,辛,鳳閣,玉堂,禄存,鳳閣,車騎,天胡,天将,天貴,寅卯
Joseph A. Schwarcz,Chemist & author (Canadian),"Curious, Inquisitive, Analytical, Resilient, Determined, Intellectual, Intrigued by the Mysterious, Driven by Intellectual Curiosity","Early exposure to adversity leading to resilience and resourcefulness, Strong internal drive for intellectual exploration and understanding, Early childhood event shaping lifelong interests and career path, A pattern of converting challenges (migration, cultural displacement) into opportunities (education, career)","'Instead of using the usual magic words like Abracadabra, he said that he was going to sprinkle a 'Magic Chemical' on the ropes.' (Illustrates curiosity and analytical thinking)
escaped over the border to Austria and migrated to Canada (Demonstrates resilience and adaptability)
went to the library and looked up chemistry; he has had a keen interest in both since that day (Highlights intellectual curiosity and determination)
attended Logan school... studied chemistry at McGill University... received a BSc (1969) and PhD (1973) (Shows a pattern of academic achievement and intellectual pursuit)",Positive,1947-04-15,丁,亥,甲,辰,甲,子,壬,乙,癸,調舒,石門,貫索,玉堂,龍高,天貴,天堂,天恍,戌亥
Wendy Moore,Author & journalist (British),"Curious, Inquisitive, Persistent, Methodical, Analytical, Disciplined, Detail-Oriented, Empathetic, Driven, Independent","Deep investigative drive, Focus on historical narratives with human interest, Transformation of personal experiences into professional success, Dedication to rigorous research and accuracy, Pattern of selecting challenging subjects and sustained commitment","Investigating incidents such as the Dennis Nilsen murders
Health and medical writing
Author of multiple books on diverse historical figures and events
Focus on biographical details in her books (e.g., 'The Knife Man', 'Wedlock')
Sustained career as a journalist and author spanning many years and diverse topics",Positive,1958-04-15,戊,戌,丙,辰,壬,戌,辛,乙,辛,車騎,調舒,禄存,玉堂,玉堂,天南,天庫,天南,子丑
William Kircher,Actor (New Zealand),"Ambitious, Adaptable, Risk-Taking, Creative, Resilient, Driven","Career Reinvention, Proactive Goal Pursuit, Strategic Shift in Focus, Willingness to Take Calculated Risks","Lied about his age to attend drama school (Risk-Taking, Ambitious)
Shifted from acting to production, singing, and executive management in the late 1990s (Adaptable, Driven)
Formed ScreenAdventures movie company in 2003 (Ambitious, Risk-Taking)
Returned to acting in 2006 after focusing on production (Resilient, Adaptable)
Directed a play in 2018 (Creative, Driven)",Positive,1958-05-23,戊,戌,丁,巳,庚,子,辛,丙,癸,龍高,車騎,牽牛,調舒,石門,天堂,天貴,天極,辰巳
Patrick Rich,Actor (British),"Highly Competitive, Goal-Oriented, Determined, Resilient, Disciplined, Record-Conscious, Pragmatic, Adaptable","Early Success and Dominance in a Niche Field, Sustained High Achievement and Record-Breaking Performance, Mid-Career Transition and Pursuit of a Different Field, Potential for Internal Conflict between Athletic Drive and Intellectual Pursuit","Dominating junior teams in the North East and having successful forays against Yorkshire teams
club's most consistent goal kicker since the 1960s
held a number of club records including goals in a season (146), goals in a career (303), and points in a career (682)
left the North Western club to pursue a career in the law
seven-year-long record for points scored...was eventually beaten...",Positive,1950-04-15,庚,寅,庚,辰,庚,辰,甲,乙,乙,貫索,司禄,貫索,司禄,禄存,天馳,天印,天印,申酉
Percy Jones,"Musician (British, jazz)","Competitive, Disciplined, Strategic, Team-Oriented, Leader","Achievement-Oriented, Commitment to a chosen field, Potential for leadership roles, High level of physical and mental endurance","The fact that he played Australian Rules Football at a professional level suggests competitiveness and physical discipline.
His career as a coach indicates strategic thinking and leadership qualities.
Success in both playing and coaching roles points to a strong achievement orientation and commitment to the sport.",Neutral,1947-12-03,丁,亥,辛,亥,丙,辰,壬,壬,乙,石門,車騎,司禄,玉堂,車騎,天馳,天馳,天南,子丑
Margaret Harriman,Paralympic athlete (South African),"Highly Disciplined, Determined, Resilient, Competitive, Physically Active, Goal-Oriented, Persistent","Consistent High Achievement in Multiple Sports, Long-Term Commitment to Athletic Training and Competition, Adaptation and Perseverance Across Decades of Paralympic Participation, Potential for Strong Internal Drive and Self-Motivation","Multiple Paralympic medals across archery, track and field, lawn bowls, and swimming indicate sustained dedication and exceptional athletic ability.
Participation in Paralympic games across several decades suggests remarkable longevity, resilience, and commitment to her chosen pursuits.
Competing in such a wide range of sports demonstrates adaptability and a willingness to embrace new challenges.
The sheer number of medals won points towards a highly competitive spirit and a strong internal drive to succeed.",Positive,1959-04-15,己,亥,戊,辰,丁,卯,壬,乙,乙,鳳閣,龍高,調舒,龍高,牽牛,天報,天堂,天胡,戌亥
Stacey Roca,Actress (British),"Adaptable, Ambitious, Disciplined, Resilient, Methodical, International, Risk-Taking, Driven","International Mobility and Exploration, Consistent Career Progression through Training and Diverse Roles, Strategic Career Choices (seeking high-profile projects), Commitment to Method Acting and Craft, Desire for varied creative experiences (film, television, theatre)","Moving between South Africa, England, and the US suggests adaptability and a willingness to embrace new challenges.
Training at Webber Douglas Academy and Esper Studio demonstrates discipline and commitment to her craft.
Securing roles in high-profile productions like 'The Office' and 'Mindhunter' points to ambition and strategic career planning.
Her varied roles across film, television, and theatre show a desire for diverse creative experiences.
The consistent progression of her career indicates dedication and resilience.",Positive,1978-09-17,戊,午,辛,酉,壬,午,丁,辛,丁,車騎,玉堂,玉堂,司禄,司禄,天報,天恍,天報,申酉
Yutaka Ikejima,Actor & filmmaker (Japanese),"Driven, Pragmatic, Prolific, Efficient, Self-Reliant, Risk-Taking, Ambitious, Professionally Disciplined, Comfortable with Sexuality, Openly Expressive","Consistent Career Focus within a Niche Genre, High Productivity and Output, Successful Collaboration and Networking, Adaptation and Flexibility in Response to Industry Demands, Proactive Career Advancement (Actor to Director), Integration of Personal and Professional Life (Work with Spouse)","""Pink Eiga] is my lifework because it lets me earn money, play leading roles and touch naked women."" (Direct expression of motivations and values)
Between 1981 and 1988 he appeared in over 500 softcore pink films...
Though most awarded and recognized as a director, Ikejima has continued acting to the present day.
Known for his professionalism and efficiency, when...Ikejima was called in to film a temporary replacement, a task he accomplished in a few days.
In 2008 Ikejima directed his 100th pink film...
In his pink film directorial career, Ikejima usually collaborates with his wife, screenwriter Kyōko Godai...",Mixed,1948-03-30,戊,子,乙,卯,甲,寅,癸,乙,甲,禄存,石門,石門,貫索,玉堂,天恍,天将,天祿,子丑
Alan M. Leslie,Psychologist & cognitive scientist (British),"Highly intellectual, Driven by intellectual curiosity, Disciplined and persistent, Dedicated to academic pursuit, Ambitious, High achiever, Internationally recognized","Consistent pursuit of academic excellence, Strong work ethic and dedication to research, International collaboration and recognition, Progressive career trajectory marked by upward mobility, Commitment to the field of developmental psychology","Completed undergraduate degree in Psychology and Linguistics
Received D.Phil. in Experimental Psychology
Medical Research Council Senior Scientist
Faculty at Rutgers University
Visiting professor at multiple prestigious universities
Kanizsa Memorial Lecture
Ann L. Brown Award
Fellow of the Association for Psychological Science
Elected to the American Academy of Arts and Sciences",Positive,1945-09-15,乙,酉,乙,酉,丁,亥,辛,辛,壬,龍高,禄存,龍高,牽牛,禄存,天貴,天貴,天報,午未
Mark Frost,Screenwriter & author (American),"Collaborative, Creative, Persistent, Intellectual, Driven, Storytelling-oriented, Detail-oriented (in writing), Nostalgic (evident in revisiting Twin Peaks), Ambitious","Early exposure to the arts and performance (father, Guthrie Theater internship), Consistent pursuit of creative endeavors across various media (writing, directing, screenwriting), Strong collaborative partnerships (especially with David Lynch), Interest in exploring complex narratives and multiple perspectives (Twin Peaks, novels), Periods of intense creative output followed by periods of relative quiet, Appreciation for classic storytelling styles (Dickensian influence), Successful reinvention and return to previous projects (Twin Peaks revival)","Worked as a member of the lighting crew on Mister Rogers' Neighborhood
Co-created Twin Peaks with David Lynch
Returned to the Guthrie Theater as a literary associate
Wrote several books on golf and fictional works
Co-wrote and directed the film Storyville
Returned to co-write the third season of Twin Peaks
Developed On the Air with Lynch after Twin Peaks
'a sort of Dickensian story about multiple lives in a contained area that could sort of go perpetually' (Frost's vision for Twin Peaks)
The Match: The Day the Game of Golf Changed Forever; The Grand Slam (demonstrates detail-orientation and historical interest)",Positive,1953-11-25,癸,巳,癸,亥,庚,辰,丙,壬,乙,調舒,鳳閣,調舒,司禄,車騎,天貴,天胡,天印,申酉
Bill Suplee,Actor (American),"Versatile, Adaptable, Risk-Taking, Collaborative, Resilient, Methodical (in some roles), Impulsive (in some choices), Driven by opportunity","Early exposure to the performing arts, Consistent career in acting across diverse roles, Collaboration with recurring co-stars, Embraces diverse and challenging roles (including morally ambiguous characters), Demonstrates a willingness to take on unconventional roles, Potential for impulsivity in career choices (dropping out of school), Later-life pursuit of personal passions (podcast)","Parents were actors; early exposure to the performing arts.
Wide range of roles from comedic to dramatic, and from supporting to leading.
Recurring collaborations with Kevin Smith and Jason Lee.
Played a white supremacist (American History X), a rapist (Vulgar), and various other complex characters.
Willingness to take on roles that deviate from typical typecasting.
Dropped out of school at 14, suggesting impulsivity or a strong drive for independence.
Launched a podcast in 2020, indicating a pursuit of personal interests outside of acting.",Neutral,1940-08-15,庚,辰,甲,申,庚,寅,乙,庚,甲,貫索,貫索,禄存,禄存,司禄,天印,天祿,天馳,午未
Timothy Gorringe,Phologian (British),"Intellectually curious, Highly disciplined, Prolific writer, Socially engaged, Theologically driven, Systematically minded, Interdisciplinary, Deeply reflective, Actively engaged in social justice, Pragmatic, Multifaceted interests","Consistent pursuit of intellectual and theological inquiry, Dedication to academic and writing productivity, Commitment to social justice and activism across multiple domains, Integration of diverse interests (theology, art, social sciences, etc.) into a coherent worldview, Progressive career progression in academia, reflecting ambition and commitment, Balance of academic rigor with practical engagement (e.g., Transition Town movement), Exploration and application of theological principles in diverse areas","Prolific publications across various theological and social justice themes
Extensive academic career spanning multiple prestigious institutions
Membership in the Iona Community, indicating commitment to social action
Diverse academic interests spanning theology, culture, art, social science, criminal justice, economics, and politics
Focus on 'values of constructive social change' research project
Engagement in apiculture, poultry keeping, home winemaking, and theatre suggesting a need for balance and diverse stimulation
Publications on subjects such as  'Capital and the Kingdom' and 'Fair Shares' indicating a concern for ethical dimensions of economic order",Positive,1946-04-15,丙,戌,壬,辰,己,未,辛,乙,己,玉堂,車騎,司禄,貫索,鳳閣,天印,天堂,天南,子丑
Alfred Thomas Grove,Ecologist,"Methodical, Persistent, Independent, Analytical, Detail-Oriented, Curious, Disciplined, Intellectual, Critical, Patient, Collaborative, Mentoring, Principled, Resilient, Reflective","Long-term commitment to research and academic pursuits, Focus on meticulous data collection and analysis, Mentorship and legacy building through student supervision, Challenging established paradigms and conventional wisdom, Adaptation and pivoting research interests in later life (Mediterranean studies), Commitment to evidence-based decision-making (climate change), Response to personal loss (finalizing wife's work)","His work in the 1950s and 60s established the framework for subsequent geomorphological investigations...
combining detailed mapping of geomorphological features through air photograph analysis with meticulous field verification
Through his role as a doctoral supervisor at Cambridge... Grove created an important legacy...
challenging glib Malthusian arguments...
Grove's research found a new and important policy audience...
From the late 1980s, Grove’s interests expanded...
Following the death of his wife... he finalised the second edition of her seminal work...
the substantial evidence that human activity is causing global warming makes it 'safer to act...'
They argue that environmental determinist notions... originated in the failure of the landscape to measure up...
pungently rejecting this interpretation as the viewpoint of 'an American with no notion at all how commons actually work'",Positive,1924-04-16,甲,子,戊,辰,乙,丑,癸,乙,己,石門,貫索,司禄,禄存,龍高,天胡,天南,天堂,戌亥
Larry Wallis,"Musician (British, rock)","Prolific, Driven, Independent, Collaborative, Persistent, Rebellious, Creative, Energetic","High Output Creativity, Consistent Pursuit of Musical Expression, Collaboration with Diverse Artists, Independent Career Trajectory, Relentless Work Ethic","Extensive discography spanning decades and various projects (indicates prolificacy and drive)
Production credits for multiple artists (demonstrates collaboration and influence)
Consistent involvement in music throughout life (highlights persistent dedication)
Diverse range of musical styles and collaborations (reflects independence and creative energy)
Long list of albums and songs released across multiple decades (supports relentless work ethic)
Association with bands like Pink Fairies (suggests rebellious streak and non-conformity)",Neutral,1949-05-19,己,丑,己,巳,己,酉,己,丙,辛,貫索,玉堂,貫索,鳳閣,貫索,天庫,天将,天貴,寅卯
Melissa Johnson,Documentary filmmaker (American),"High Achievement Orientation, Resilience, Adaptability, Competitive Drive, Goal-Oriented, Independent, Persistent","Frequent Career Transitions, Consistent High Performance in Competitive Environments, Relatively Short Tenures in Teams, Self-Driven Career Progression, Strong Adaptability to Changing Teams and Environments","Finished as second top-scorer in the league with 12 goals in 15 appearances
Named WSL 2 Player of the Month twice
Scored three hat-tricks for Aston Villa in the opening five games
Was the second top-scorer with 12 goals (season cut short by pandemic)
Consistently moved between teams, suggesting a proactive approach to career advancement, perhaps prioritizing opportunities for growth or different challenges.",Positive,1975-04-15,乙,卯,庚,辰,辛,卯,乙,乙,乙,禄存,禄存,石門,禄存,禄存,天馳,天庫,天馳,午未
Randall Miller,Film director (American),"Driven, Ambitious, Adaptable, Independent, Creative, Persistent, Sociable, Influenced by Others","Following familial academic footsteps initially, then pursuing a creative passion despite initial uncertainty., Seeking mentorship and guidance from influential figures (parents, Bob Zemeckis)., Demonstrates a capacity for both independent action (dropping out of UCLA) and collaboration (working with Zemeckis, meeting wife at AFI)., A pattern of pursuing advanced education in alignment with career aspirations.","Inspired by his own parents' careers in medicine, he initially studied biochemistry.
He dropped out of UCLA to pursue acting.
He completed his undergraduate degree at the USC film school at Zemeckis' encouragement.
He received a master's degree in film from the American Film Institute (AFI).
He met his future wife Jody Savin at AFI.",Positive,1962-04-15,壬,寅,甲,辰,癸,未,甲,乙,己,石門,鳳閣,調舒,車騎,調舒,天恍,天印,天庫,申酉
John Burr Williams,Financial analyst (American),"Intellectual, Independent, Persistent, Analytical, Determined, Innovative, Principled, Methodical, Patient, Visionary","Pursuit of Intellectual Understanding, Challenging Established Norms, Independent Scholarship and Publication, Long-Term Vision in Finance, Dedication to rigorous methodology","realized that 'how to estimate the fair value was a puzzle indeed... To be a good investment analyst, one needs to be an expert economist also.'
In 1932 he enrolled at Harvard for a PhD in economics, with the hopes of learning what had caused the Wall Street crash of 1929...
Williams sent The Theory of Investment Value for publication before he had won faculty approval for his doctorate.
Various publishers refused the work since it contained algebraic symbols, and Harvard University Press published The Theory of Investment Value in 1938, only after Williams had agreed to pay part of the printing cost.
He argued that financial markets are, instead, 'markets', properly speaking, and that prices should therefore reflect an asset's intrinsic value.
Rather than forecasting stock prices directly, Williams emphasized future corporate earnings and dividends.
Through his approach to modelling and forecasting cash flows—which he called 'algebraic budgeting'—Williams was also a pioneer of the pro forma modeling of financial statements.
In presenting the 'Law of the Conservation of Investment Value' (Theory, pg. 72), he argued that since the value of an enterprise is the 'present worth' of all its future distributions – whether interest or dividends – it 'in no [way] depends on what the company's capitalization is'.",Positive,1900-11-27,庚,子,丁,亥,甲,辰,癸,壬,乙,車騎,龍高,調舒,石門,玉堂,天恍,天貴,天堂,寅卯
Jamaal Smith,Footballer (Canadian),"Persistent, Resilient, Competitive, Determined, Adaptable, Ambitious, Risk-Taking","Consistent pursuit of athletic goals despite setbacks, Geographic mobility and adaptability to new environments and teams, International focus and cross-cultural experience, Balancing ambition with the realities of a competitive career","Winning CIS championships in 2008 and 2010 demonstrates persistence and competitiveness.
Trying out for Toronto FC and playing for numerous clubs across different countries showcases adaptability and ambition.
Playing for Guyana's national team highlights an international focus.
Failing to make the Toronto FC squad but continuing his career shows resilience and a pragmatic approach to setbacks.",Positive,1984-04-15,甲,子,戊,辰,己,卯,癸,乙,乙,牽牛,車騎,石門,車騎,禄存,天馳,天堂,天胡,申酉
William Dunlop,Motorcycle racer (British),"Competitive, Disciplined, Team-Oriented, Physically Active, Ambitious (multiple individuals with the same name suggests a recurring drive for achievement), Possibly Resilient (multiple individuals with the same name suggests overcoming challenges to achieve in the same field)","Repeated Achievement in the Same Field (multiple individuals named William Dunlop playing football suggests a family pattern or strong personal drive towards athletic success), Potential for Multi-Generational Familial Influence (the recurrence of the name and profession hints at a legacy or family tradition), Dedication to Physical Prowess (consistent with a career in professional football)","The repetition of the name 'William Dunlop' across different generations of footballers suggests a strong drive for success in the same field.
The consistent career choice in football across multiple William Dunlops indicates dedication and likely physical aptitude.
The multiple entries suggest a family history or a pattern of ambition related to football.",Neutral,1951-04-15,辛,卯,壬,辰,乙,酉,乙,乙,辛,車騎,貫索,玉堂,車騎,貫索,天祿,天南,天馳,午未
Matt Beaumont,Author (British),"Prolific, Creative, Driven, Adaptable, Technologically Aware, Methodical (in writing/publishing), Self-Promoting (through website and interviews)","Consistent output of creative work, Engagement with emerging technologies (e-mail story, ARG), Strategic self-promotion, Maintenance of online presence","Published multiple novels in a relatively short timeframe ('e' (2000) - 'e Squared' (2009))
Incorporation of early forms of digital communication (e-mail story)
Maintained an official website ('Let's Talk About Me')
Participated in interviews ('An interview with Matt Beaumont from bookmunch.co.ok')
Strategic use of multiple platforms for promoting his work (novels, film, t-shirts)",Neutral,1972-04-15,壬,子,甲,辰,丙,子,癸,乙,癸,車騎,玉堂,龍高,牽牛,牽牛,天報,天南,天報,申酉
Weird Al Yankovic,Musician & comedian (American),"Highly intelligent, Creative, Independent, Driven by intrinsic motivation, Perfectionistic, Humorous, Self-deprecating, Analytical, Persistent, Adaptable, Detail-oriented, Early bloomer, Socially awkward (early life), High achieving","Early academic success and subsequent social isolation, Strong internal drive for self-expression and creative fulfillment, Overcoming setbacks through persistence and adaptation, Strategic career management (leveraging media and technology), Consistent pursuit of personal happiness as a guiding principle, Blending diverse interests and influences into a unique artistic identity, Seeking validation through creative work rather than social interaction (early life)","skipped second grade...labeled a nerd early on
His father...believed 'the key to success' was 'doing for a living whatever makes you happy'
Yankovic claims that his parents chose the accordion...because 'they figured there should be at least one more accordion-playing Yankovic in the world'
'My classmates seemed to think I was some kind of rocket scientist'
He was not interested in sports or social events but was active in other extracurricular programs
Yankovic took over production from Rick Derringer in 1992...Yankovic's increasingly more complex musical vision
transcribed [George Carlin's] stand-up comedy album FM & AM by typewriter
He graduated in 1976, and was valedictorian of his senior class
This approach proved to be successful, as the total collection of videos had acquired more than 20 million views in the first week
Yankovic himself was amazed with the response he got from the album and video releases, stating that 'I've been doing the same thing for 30 years and all of a sudden I'm having the best week of my life'",Positive,1959-10-23,己,亥,甲,戌,戊,寅,壬,辛,甲,石門,調舒,車騎,車騎,禄存,天馳,天庫,天貴,申酉
Mark Sykes,Footballer (English),"Highly imaginative, Energetic, Enthusiastic, Charismatic, Impulsive, Independent, Lacking self-discipline, Creative, Prolific, Sociable, Independent, Visionary, Passionate","Early exposure to privilege and instability, Self-directed learning and creative expression, Strong drive for achievement and recognition, Early success with literary and political pursuits, Significant impact on international relations, Premature death limiting long-term influence, Complex relationship with family and tradition","developed an imagination, without the corresponding self-discipline to make him a good scholar
An effervescent personality; he could turn a gathering into a party, a party into a festival. He bubbled with ideas, and he swept up his listeners with his enthusiasm.
By the age of twenty-five, Sykes had published at least four books
It was due to his endless push and perseverance, to his enthusiasm and faith, that Arab nationalism and Zionism became two of the most successful of our war causes ...
left much to his own devices
He also wrote The Caliphs' Last Heritage...
His remains were transported back to his family home at Sledmere House ... Although he had been a Roman Catholic, he was buried in the churchyard of the local Anglican St. Mary's church in Sledmere.
Their seat was Sledmere House. Lady Sykes converted to Roman Catholicism and Mark was brought into that faith from the age of three.",Mixed,1979-08-04,己,未,辛,未,癸,卯,己,己,乙,車騎,車騎,龍高,鳳閣,車騎,天庫,天庫,天貴,辰巳
Mark Wildman,Boxer (British),"Competitive, Resilient, Ambitious, Strategic, Inconsistent, Absent-minded, Charming, Kind, Shrewd, Savvy, Confident (later in life), Patient (in coaching), Imaginative, Energetic, Business-minded","High Achievement Drive (in Cue Sports), Career Diversification (Cue Sports & Business), Late-Life Transition (to Spain), Balancing Competing Priorities (Business & Cue Sports), Progressive Confidence Development, Mentorship and Legacy Building, Ambivalence towards Snooker (early lack of confidence, later success and influence)","Reached numerous finals in billiards and snooker championships.
Overcame early lack of confidence to become a successful commentator and administrator.
Successfully transitioned from professional player to commentator, administrator, and coach.
Maintained a successful career in finance alongside his cue sports career.
Inconsistent' was cited as his main weakness as a player.
""an absent-minded figure who always seems to have forgotten something""
""brought considerable initiative, imagination and energy""
""savvy businessman and a shrewd operator. But he was also a man of great charm, personal kindness, an impeccable manners""
Coached numerous players, including a future world champion.
Moved to Spain and became a local carom billiards champion in retirement.","Mixed (highlights both strengths and weaknesses, showcasing a complex personality)",1936-04-15,丙,子,壬,辰,丁,卯,癸,乙,乙,石門,龍高,牽牛,龍高,車騎,天馳,天堂,天胡,戌亥
Ottar Lie,Politician (Norwegian),"Ideological Commitment, Courageous, Defiant, Principled, Resilient, Committed to Social Justice, Uncompromising, Possibly Reckless","Active Resistance to Oppression, Commitment to Political Ideals, Willingness to Sacrifice, Confrontational, Potential for Self-Sacrifice, Strong Moral Compass, Endured Hardship and Persecution","Member of the Communist Party of Norway
Norwegian resistance member
Imprisoned at Grini concentration camp
Executed by Nazi Germany
Active in the Labour Party
His biography is documented in multiple historical works focusing on the Norwegian resistance and political movements.",Mixed,1896-04-15,丙,申,壬,辰,戊,戌,庚,乙,辛,龍高,牽牛,禄存,調舒,鳳閣,天胡,天南,天庫,辰巳
